timestamp,k,num_epochs,lr,weight_decay,batch_size,train_rmse,valid_rmse
2025-03-01 19:01:27,6,100,5,0,64,0.16541938732067743,0.16909718016783395
2025-03-01 21:20:56,5,100,5,0,64,0.16560936272144317,0.17059835493564607
2025-03-01 21:21:41,4,100,5,0,64,0.16588209941983223,0.17066026106476784
2025-03-01 21:21:55,3,100,5,0,64,0.1680366893609365,0.17179585993289948
2025-03-01 21:22:07,7,100,5,0,64,0.165338362966265,0.16972615037645614
2025-03-01 21:22:24,8,100,5,0,64,0.1649151537567377,0.1704500000923872
2025-03-01 21:23:18,9,100,5,0,64,0.16533230576250288,0.16980521049764422
2025-03-01 21:23:40,10,100,5,0,64,0.1645320922136307,0.16754697561264037
2025-03-01 21:23:57,11,100,5,0,64,0.16394693607633765,0.1689489632844925
2025-03-01 21:24:12,12,100,5,0,64,0.16405353570977846,0.16789384186267853
2025-03-01 21:24:27,13,100,5,0,64,0.1645497725560115,0.1690926207945897
2025-03-01 21:24:43,14,100,5,0,64,0.16487181399549758,0.16913734376430511
2025-03-01 21:25:01,12,100,5,3,64,0.3410588490466277,0.2648542175690333
2025-03-01 21:25:20,12,100,5,1,64,0.33367493748664856,0.25469577436645824
2025-03-01 21:25:34,6,100,5,3,64,0.33700792739788693,0.2806740229328473
2025-03-01 21:26:19,6,100,5,1,64,0.3271385083595912,0.267784225443999
2025-03-01 21:26:39,6,200,5,0,64,0.14133703708648682,0.15118891994158426
2025-03-01 21:27:00,6,300,5,0,64,0.13020857671896616,0.14637469997008642
2025-03-01 21:27:29,6,500,5,0,64,0.12373662491639455,0.15078951915105185
2025-03-01 21:27:48,6,400,5,0,64,0.12555720657110214,0.14768872410058975
2025-03-01 21:28:08,6,400,3,0,64,0.13192971547444662,0.14616255089640617
2025-03-01 21:28:25,6,400,1,0,64,0.1629739354054133,0.16694494585196176
2025-03-01 21:28:43,6,400,2,0,64,0.1408582702279091,0.15035135050614676
2025-03-01 21:29:18,6,400,3,0,64,0.1319589912891388,0.1462069203456243
2025-03-01 21:29:38,6,400,3,0,32,0.12464747453729312,0.1476356958349546
2025-03-01 21:30:20,6,400,3,0,8,0.1217310627301534,0.1592239091793696
2025-03-01 21:30:51,6,400,3,0,16,0.12275395169854164,0.1534081076582273
2025-03-01 21:31:23,6,400,3,0,32,0.12465547025203705,0.14769048492113748
2025-03-01 21:31:41,6,400,3,0,64,0.13195175429185232,0.1461536002655824
2025-03-01 21:31:55,6,400,3,0,128,0.1531605819861094,0.16082568715016046
2025-03-01 21:32:41,6,400,3,1,64,0.32048723101615906,0.26280177632967633
2025-03-01 21:36:43,6,400,3,0.01,64,0.13241559267044067,0.14614763235052428
2025-03-01 21:37:08,6,400,3,0.01,32,0.1255986007551352,0.14655580123265585
2025-03-01 21:37:41,6,400,3,0.01,128,0.15384011964003244,0.16159519304831824
2025-03-01 21:38:11,6,400,3,0.001,64,0.13198005159695944,0.14619016274809837
2025-03-01 21:39:01,6,400,3,0.0001,64,0.13197244455416998,0.1461819832523664
2025-03-01 21:39:37,6,400,3,0.0001,32,0.12467240045468013,0.14763011038303375
2025-03-01 21:41:02,6,400,2,0.01,64,0.14137172450621924,0.15071146935224533
2025-03-01 21:41:43,6,400,4,0.01,64,0.12842040260632834,0.1458152731259664
2025-03-01 21:42:09,6,400,5,0.01,64,0.12648750593264899,0.1468347335855166
2025-03-01 21:42:30,6,500,4,0.01,64,0.12593125303586325,0.14699741949637732
2025-03-01 21:42:51,7,400,4,0.01,64,0.1282267506633486,0.14509605403457368
2025-03-01 21:43:18,8,400,4,0.01,64,0.128122940659523,0.1436469992622733
2025-03-01 21:43:41,9,400,4,0.01,64,0.1278328936960962,0.14379969735940298
2025-03-01 21:44:20,10,400,4,0.01,64,0.12746163010597228,0.14210336580872535
2025-03-01 21:44:48,11,400,4,0.01,64,0.12743073295463214,0.14501610059629788
2025-03-01 21:45:34,10,400,4,0.01,32,0.12488789185881614,0.1440739445388317
2025-03-01 21:46:08,10,400,4,0.0001,32,0.12357182055711746,0.14685552045702935
2025-03-01 21:46:37,10,400,4,0.001,32,0.12377500981092453,0.14656951129436493
2025-03-01 21:47:04,10,400,4,0.01,128,0.14084130078554152,0.14872270151972772
2025-03-01 21:47:38,10,500,4,0.01,64,0.12557676807045937,0.1431528575718403
2025-03-01 21:48:14,10,600,4,0.01,64,0.12496933713555336,0.14484850466251373
2025-03-01 21:48:43,10,400,5,0.01,64,0.12602480351924897,0.14298918321728707
2025-03-01 21:49:36,10,400,3,0.01,64,0.1306290328502655,0.14216241985559464
